"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","7_months_Quantity","7_months_Value"
"India","Computers, Electronical products & parts",0,129953.68,0,95291.59,0,123862.68,0,120152.88,0,132873.76,0,123355.86,NA,153577.95,NA,879068.43
"India","Other Machinery, instrument, accessory",0,76869.84,0,58830.98,0,64927.19,0,112884.62,0,79905.59,0,95985.91,NA,89421.77,NA,578825.92
"India","Other base metals and products",0,85038.91,0,71245.63,0,88877.13,0,93631.11,0,66651.09,0,48681.19,NA,40599.98,NA,494725.07
"India","Chemicals",0,38533.91,0,16789.56,0,67151.62,0,47754.16,0,16347.97,0,33425.02,NA,32913.63,NA,252915.89
"India","Pepper",948,6728.68,779,5704.31,1548,11066.96,2495,17694.42,1732,12082.14,1157,8163.75,620,4074.91,9279,65515.21
"India","Cashew nut",562,3165.61,218,1673.35,262,2007.6,196,973.41,167,912.3,362,2507.68,161,1042.95,1928,12282.92
"India","Seafood",0,1927.43,0,1430.12,0,2063.07,0,1190.65,0,1359.79,0,1828.78,NA,1601.45,NA,11401.32
"India","Textile, sewing products",0,14325.04,0,12146.26,0,16689.47,0,16055.88,0,18279.5,0,17774.25,NA,21140.73,NA,116411.16
"India","Footwear",0,754.3,0,569.84,0,2325.71,0,5474.55,0,6251.19,0,10825.59,NA,25543.16,NA,51744.37
"India","Wood and wooden products",0,32599.59,0,9893.7,0,5390.95,0,8480.74,0,7127.26,0,8511.5,NA,5280.99,NA,77284.75
"India","Tea",306,414,112,126.6,367,525.69,213,287.25,357,446.51,383,591.69,428,631.15,2166,3022.92
"India","Plastic materials",14477,14579.22,14463,15097.37,16823,17751.38,8392,9345.29,5034,6501.03,6978,8394.9,6852,8299.07,73019,79968.29
"India","Rubber",3934,7826.01,5809,11858.27,4986,10623.88,5091,10244.42,6171,11009.29,8648,15446.58,9678,17493.04,44317,84501.5
"India","Coffee",105,376.68,145,750.39,470,2415.67,487,2531.95,718,3673.23,585,2999.86,514,2454.4,3024,15202.22
"India","Chemical products",0,10911.36,0,10994.29,0,12910.95,0,13891.47,0,14256.97,0,14955.64,NA,14014.52,NA,91935.23
"India","Sweets, cookies and cereal preparations",0,344.24,0,148.73,0,242.27,0,221.56,0,224.9,0,309.35,NA,345.81,NA,1836.88
"India","Telephones and their parts",0,226017.31,0,162623.45,0,199311.09,0,159138.27,0,213597.06,0,222999.33,NA,205491.85,NA,1389178.4
"Ukraine",NA,0,3826.95,0,6212.69,0,7726.42,0,9531.09,0,12492.36,0,5917.39,NA,6412.47,NA,52119.4
"Ukraine","Articles of plastics",0,3.53,0,60.01,0,0,0,0.76,0,9.16,0,6.27,NA,0,NA,79.75
"Ukraine","Computers, Electronical products & parts",0,0,0,11.33,0,91.98,0,39.69,0,3.14,0,0,NA,89.17,NA,235.32
"Ukraine","Other Machinery, instrument, accessory",0,135.5,0,71.34,0,48.62,0,0,0,3726.73,0,0,NA,73.92,NA,4056.12
"Ukraine","Cashew nut",28,168.7,0,0,122,874.78,25,176.71,99,653.92,53,336.92,49,287.8,376,2498.84
"Ukraine","Pepper",18,135.2,17,127.15,42,298.94,0,0,0,0,28,189.4,36,258.57,141,1009.27
"Ukraine","Seafood",0,605.85,0,1696.38,0,1159.42,0,1685.65,0,1196.02,0,499.67,NA,748.12,NA,7591.13
"Ukraine","Fresh and pocessed vegetables and fruit",0,77.23,0,193.17,0,89.29,0,56.06,0,438.49,0,340.1,NA,174.99,NA,1369.35
